iter	Logloss
0	0.6885746956
1	0.6820015907
2	0.6754771233
3	0.6716086388
4	0.6661458015
5	0.6603505611
6	0.6545408249
7	0.647496748
8	0.6418272972
9	0.636481905
10	0.6309772968
11	0.6256364822
12	0.6212924004
13	0.6169884205
14	0.6113526344
15	0.6059009552
16	0.6028168201
17	0.5978044033
18	0.5946187019
19	0.5917188644
20	0.5866010666
21	0.5826430321
22	0.5795148373
23	0.5754752159
24	0.5713700771
25	0.5664558411
26	0.5625126839
27	0.5586405754
28	0.553856945
29	0.5516354561
30	0.5488241196
31	0.5472311974
32	0.5454791069
33	0.5430240631
34	0.5397485733
35	0.5360658646
36	0.5326347828
37	0.5289289474
38	0.5246219158
39	0.5232431889
40	0.519740963
41	0.516319561
42	0.5119441032
43	0.5107463837
44	0.5080734253
45	0.504941082
46	0.5015017509
47	0.4992138863
48	0.4948935032
49	0.4908708096
50	0.4868041039
51	0.4842530727
52	0.4825025558
53	0.4797325134
54	0.4770211697
55	0.4750476837
56	0.4728706837
57	0.4710027218
58	0.4692723274
59	0.4663094521
60	0.4643919468
61	0.4618422508
62	0.4590266705
63	0.4563348293
64	0.4547376156
65	0.4536222458
66	0.4510957718
67	0.4492233276
68	0.4469137192
69	0.4452363968
70	0.4434648514
71	0.4405212402
72	0.4392838478
73	0.4366504669
74	0.4345117569
75	0.4328608513
76	0.4291988373
77	0.4269107819
78	0.4250957489
79	0.4232797623
80	0.4208656311
81	0.4192843914
82	0.4178419113
83	0.4155519485
84	0.4139697075
85	0.4129117012
86	0.4118997574
87	0.4103461742
88	0.4088861465
89	0.4066633224
90	0.4048316002
91	0.403604126
92	0.4023298264
93	0.4008576393
94	0.399082756
95	0.397548604
96	0.3948250771
97	0.3940846205
98	0.3918987751
99	0.3903931141
100	0.3881401062
101	0.3862692118
102	0.3847704887
103	0.383301425
104	0.3825006485
105	0.3804596901
106	0.3778827667
107	0.3764307976
108	0.3751205206
109	0.3734120607
110	0.3715183735
111	0.3701525688
112	0.3680376053
113	0.3664345503
114	0.3653814554
115	0.3639069557
116	0.3627368689
117	0.361950779
118	0.3608958244
119	0.3594358206
120	0.3568724871
121	0.3552599907
122	0.3542530298
123	0.3518833637
124	0.3510288715
125	0.3495349169
126	0.3480411291
127	0.3462240219
128	0.3450276375
129	0.3437003613
130	0.3421766758
131	0.3410691738
132	0.3394255877
133	0.3383509159
134	0.3371632576
135	0.3361188412
136	0.3347441196
137	0.3335991859
138	0.3311260939
139	0.3289648056
140	0.3282390118
141	0.3273785591
142	0.3252285242
143	0.3240125418
144	0.323105669
145	0.3219078779
146	0.3205953836
147	0.3197088957
148	0.3186450481
149	0.3177743435
150	0.3165014744
151	0.3149220467
152	0.3137007952
153	0.3124694824
154	0.3118807793
155	0.3109033346
156	0.3096819878
157	0.3083628178
158	0.3071560621
159	0.3054783344
160	0.3043033123
161	0.3035196543
162	0.3022554874
163	0.301137495
164	0.29985497
165	0.298777771
166	0.2973638773
167	0.2961953163
168	0.2954923391
169	0.2946435928
170	0.2932628632
171	0.2924152374
172	0.2920162439
173	0.2905842304
174	0.2900120974
175	0.2894668579
176	0.2877022028
177	0.2869558811
178	0.2862417221
179	0.2854522228
180	0.2848582268
181	0.2834911108
182	0.2822836637
183	0.2817157745
184	0.2810531139
185	0.2800286293
186	0.2785398483
187	0.2780727625
188	0.2769738197
189	0.2754949331
190	0.2744323969
191	0.2739498377
192	0.2730742455
193	0.2721282959
194	0.2710063934
195	0.2696313381
196	0.268313694
197	0.2679258347
198	0.2672147274
199	0.2666518688
200	0.2658349752
201	0.2646459103
202	0.2636322975
203	0.2627993822
204	0.2621526003
205	0.2613293648
206	0.2602716208
207	0.2593400717
208	0.258592844
209	0.2577163458
210	0.2571331501
211	0.25685215
212	0.2560631752
213	0.2556010723
214	0.2548649311
215	0.2538198471
216	0.2522494793
217	0.2516788006
218	0.2505375862
219	0.2494695187
220	0.2487180233
221	0.2479341507
222	0.2471148968
223	0.2466010332
224	0.245815897
225	0.2449320793
226	0.2440011501
227	0.2431106091
228	0.2427304745
229	0.2420384407
230	0.2416563749
231	0.2407685757
232	0.2396493435
233	0.2383899212
234	0.2371115685
235	0.236108923
236	0.2356478691
237	0.2347818613
238	0.234137249
239	0.23373909
240	0.2330275536
241	0.2325176239
242	0.2316173553
243	0.2310995579
244	0.2304987907
245	0.2300471783
246	0.2288098335
247	0.2282956123
248	0.227899456
249	0.2274912119
250	0.2269858837
251	0.2257258892
252	0.2251353264
253	0.2246613026
254	0.2238149643
255	0.223536253
256	0.2230528355
257	0.2222783089
258	0.2211812019
259	0.2206714153
260	0.2193309307
261	0.2183079958
262	0.2177992821
263	0.2168015957
264	0.2162541389
265	0.2156093121
266	0.2144484997
267	0.2136856556
268	0.2131120682
269	0.2122853279
270	0.211494875
271	0.2109581947
272	0.2104812622
273	0.2096899033
274	0.2087575912
275	0.2080925941
276	0.2070429087
277	0.2063208342
278	0.2059364557
279	0.2055556059
280	0.2049026489
281	0.2044991016
282	0.2039965153
283	0.2036318302
284	0.202946806
285	0.2021871328
286	0.2016434669
287	0.2014571428
288	0.2010651112
289	0.2005386353
290	0.2001204967
291	0.1995754004
292	0.1990864754
293	0.1986545682
294	0.1979624748
295	0.1974364758
296	0.1970770001
297	0.1961856365
298	0.1955881119
299	0.1949855804
300	0.1947038174
301	0.1939271212
302	0.1935182691
303	0.192992115
304	0.1926210999
305	0.1921644926
306	0.1918045998
307	0.1911336303
308	0.1907286644
309	0.1903240919
310	0.1898056626
311	0.1889524102
312	0.1886530638
313	0.1884137154
314	0.1881139755
315	0.1874949932
316	0.1872958541
317	0.1863502026
318	0.1856808186
319	0.1851257801
320	0.1846171141
321	0.1839980841
322	0.1835809469
323	0.1830678701
324	0.1827476263
325	0.1818714619
326	0.1813119292
327	0.1805513144
328	0.180208683
329	0.1797291279
330	0.1792297363
331	0.1787600994
332	0.1783339381
333	0.1779979706
334	0.177533555
335	0.1770510435
336	0.1763049364
337	0.1759539604
338	0.1756802678
339	0.174484539
340	0.1740985751
341	0.1738157868
342	0.1731554866
343	0.1725887775
344	0.1718390584
345	0.171276021
346	0.1709915161
347	0.1702845693
348	0.1699778557
349	0.1692573309
350	0.1686803818
351	0.1680922031
352	0.1675356388
353	0.1669491053
354	0.1664258599
355	0.1659956694
356	0.1655165672
357	0.1648304701
358	0.1644171834
359	0.1642662644
360	0.1638870597
361	0.1637217164
362	0.1631574392
363	0.1627693295
364	0.1625290155
365	0.1619582415
366	0.1614070654
367	0.16104846
368	0.1604205251
369	0.1600244284
370	0.1596198559
371	0.1588766336
372	0.1584951639
373	0.1579728484
374	0.1573052883
375	0.1571606398
376	0.1570186019
377	0.1568178415
378	0.1565525532
379	0.1562800169
380	0.1561473608
381	0.1555720806
382	0.1551300406
383	0.1546560168
384	0.154248929
385	0.1539579868
386	0.1536078691
387	0.1531479597
388	0.1526623845
389	0.1525128841
390	0.1522387385
391	0.1519127727
392	0.1512245178
393	0.1508449197
394	0.1502017498
395	0.149985373
396	0.1496559143
397	0.1493226051
398	0.1489959717
399	0.1485569
400	0.1480398536
401	0.1477269888
402	0.1471106052
403	0.1464489937
404	0.146317935
405	0.1455167055
406	0.1447660208
407	0.1443197727
408	0.1441093445
409	0.1437234879
410	0.1434588552
411	0.1430720925
412	0.1425484538
413	0.1419386744
414	0.1416078448
415	0.1412353516
416	0.1408964396
417	0.1402699709
418	0.1399170876
419	0.139621973
420	0.1394230962
421	0.1389696121
422	0.1384781599
423	0.1382819653
424	0.1377701044
425	0.137385416
426	0.1370916605
427	0.1367331266
428	0.1361001611
429	0.1356807709
430	0.1352748275
431	0.1349128962
432	0.1342088938
433	0.133915925
434	0.1336057901
435	0.1334367275
436	0.1330225706
437	0.1328319907
438	0.1324338913
439	0.1322296143
440	0.1319127083
441	0.1316489458
442	0.131477046
443	0.1309441686
444	0.1305551887
445	0.1302724719
446	0.1300095081
447	0.1296444297
448	0.1293141246
449	0.1289960623
450	0.1288225651
451	0.1285149574
452	0.1281429052
453	0.1277616501
454	0.1272320747
455	0.1268787384
456	0.1265490532
457	0.1263474345
458	0.1260300279
459	0.1255341291
460	0.1251488209
461	0.1250739574
462	0.1247215509
463	0.1244592905
464	0.1241467476
465	0.123782897
466	0.1233068347
467	0.1228742719
468	0.1224367142
469	0.1219801307
470	0.1218399167
471	0.1216187716
472	0.1212880731
473	0.1211718798
474	0.1207643151
475	0.1204255342
476	0.1200168848
477	0.1195820332
478	0.1191496253
479	0.1188049316
480	0.1185217619
481	0.1180684805
482	0.1177495956
483	0.1174915075
484	0.1171158195
485	0.1168453455
486	0.1164920211
487	0.1160008669
488	0.1158906817
489	0.1156250715
490	0.1152626157
491	0.1148372412
492	0.1147434592
493	0.1143091917
494	0.1142356873
495	0.1137622595
496	0.1133601308
497	0.1130967855
498	0.112678504
499	0.1123191476
500	0.1119246125
501	0.1116204739
502	0.1110636592
503	0.110713768
504	0.1104957342
505	0.1103218317
506	0.1097955227
507	0.1093449116
508	0.1092545986
509	0.1090741396
510	0.1087810755
511	0.1083541155
512	0.1082489491
513	0.1079268932
514	0.1076203823
515	0.1072970629
516	0.1070270658
517	0.1067149639
518	0.1063759565
519	0.1060670972
520	0.1058746338
521	0.1056190372
522	0.1054000854
523	0.1052637935
524	0.1048381567
525	0.1043922544
526	0.1041461587
527	0.103725934
528	0.1034083128
529	0.1031723499
530	0.1029261351
531	0.1026139259
532	0.1022402644
533	0.1020314574
534	0.1019461989
535	0.1017157793
536	0.1015100479
537	0.1012452483
538	0.1011298299
539	0.1008261442
540	0.1004900932
541	0.1004202127
542	0.1002462745
543	0.0999843061
544	0.09980934858
545	0.0995912075
546	0.09908775091
547	0.09881404638
548	0.09838308692
549	0.09818713665
550	0.09797072411
551	0.09773532748
552	0.09766046405
553	0.0974973917
554	0.09733929634
555	0.09728384018
556	0.09703237414
557	0.09688327312
558	0.09680294991
559	0.09659420848
560	0.09643479586
561	0.09635480046
562	0.09581104517
563	0.09574394226
564	0.09544456005
565	0.0949872613
566	0.09474214911
567	0.09452005625
568	0.09410229921
569	0.09401112795
570	0.09365214109
571	0.09330615401
572	0.09307187796
573	0.09286414385
574	0.0924952507
575	0.09242616892
576	0.09205586314
577	0.09184883833
578	0.09178299308
579	0.0917350173
580	0.09166998863
581	0.09139871597
582	0.09123764038
583	0.09117537737
584	0.09112393856
585	0.0910125792
586	0.09064766169
587	0.09037902951
588	0.09031215906
589	0.09017485976
590	0.08985472322
591	0.08961375952
592	0.08926058412
593	0.08920806646
594	0.08880131245
595	0.08861374855
596	0.08856726289
597	0.08826748133
598	0.08813785315
599	0.08787661791
600	0.08756551743
601	0.08731549382
602	0.08725028634
603	0.08708115816
604	0.08681031466
605	0.0867487967
606	0.08668482304
607	0.08648034334
608	0.08642974496
609	0.08636755943
610	0.08631510735
611	0.0860265255
612	0.08598525524
613	0.085724473
614	0.08568357229
615	0.08562945127
616	0.08539287448
617	0.08523532152
618	0.08510844707
619	0.08505241871
620	0.08482993841
621	0.08465560079
622	0.08435070515
623	0.08404040337
624	0.0837174058
625	0.08351429701
626	0.08346738219
627	0.08340958357
628	0.08336068392
629	0.08296892643
630	0.08274624348
631	0.08251586556
632	0.08237484097
633	0.0820071578
634	0.08168660402
635	0.08156799078
636	0.08129174709
637	0.08112870455
638	0.08083658814
639	0.0806312561
640	0.08057727814
641	0.08053303957
642	0.0804492712
643	0.080404526
