iter	Passed	Remaining
0	2	1895
1	4	1757
2	6	1723
3	8	1740
4	10	1734
5	13	1780
6	15	1790
7	18	1786
8	20	1771
9	22	1783
10	24	1756
11	26	1740
12	28	1714
13	30	1732
14	32	1721
15	35	1718
16	36	1702
17	38	1676
18	40	1677
19	42	1661
20	44	1640
21	46	1643
22	48	1648
23	50	1640
24	52	1631
25	54	1636
26	56	1628
27	59	1632
28	62	1650
29	64	1647
30	65	1632
31	67	1625
32	69	1611
33	71	1608
34	72	1592
35	74	1580
36	76	1573
37	78	1567
38	80	1571
39	82	1565
40	84	1559
41	86	1553
42	88	1551
43	89	1543
44	92	1544
45	93	1539
46	95	1529
47	97	1519
48	98	1516
49	100	1507
50	102	1499
51	104	1497
52	105	1491
53	107	1488
54	109	1482
55	111	1476
56	113	1473
57	114	1469
58	116	1466
59	118	1461
60	120	1459
61	123	1466
62	126	1480
63	128	1479
64	130	1478
65	132	1474
66	134	1475
67	136	1471
68	139	1475
69	141	1477
70	143	1473
71	145	1470
72	147	1464
73	149	1468
74	151	1466
75	153	1465
76	155	1463
77	158	1464
78	160	1461
79	162	1460
80	164	1461
81	166	1461
82	169	1461
83	171	1459
84	172	1453
85	174	1451
86	176	1447
87	178	1441
88	179	1435
89	181	1431
90	183	1426
91	184	1421
92	186	1417
93	188	1413
94	189	1407
95	191	1402
96	192	1398
97	194	1392
98	195	1386
99	198	1386
100	199	1383
101	201	1379
102	203	1374
103	204	1370
104	206	1365
105	207	1360
106	209	1355
107	212	1359
108	214	1360
109	217	1363
110	220	1366
111	222	1363
112	223	1359
113	225	1355
114	227	1355
115	229	1353
116	231	1352
117	234	1353
118	235	1350
119	237	1347
120	239	1343
121	240	1338
122	242	1333
123	243	1329
124	245	1328
125	248	1327
126	249	1323
127	251	1320
128	253	1317
129	254	1313
130	256	1309
131	258	1306
132	259	1301
133	261	1300
134	263	1298
135	265	1295
136	266	1291
137	268	1287
138	270	1283
139	271	1280
140	273	1278
141	275	1275
142	276	1272
143	278	1269
144	280	1266
145	282	1263
146	284	1262
147	286	1260
148	288	1260
149	290	1258
150	292	1257
151	295	1257
152	297	1257
153	299	1254
154	300	1251
155	302	1247
156	304	1245
157	305	1242
158	307	1240
159	309	1239
160	311	1238
161	313	1235
162	315	1232
163	316	1229
164	318	1225
165	319	1222
166	321	1218
167	324	1218
168	325	1216
169	327	1214
170	329	1211
171	330	1208
172	332	1205
173	334	1201
174	335	1198
175	337	1196
176	339	1194
177	341	1192
178	342	1189
179	344	1185
180	345	1183
181	347	1179
182	349	1178
183	351	1177
184	353	1175
185	355	1172
186	356	1169
187	358	1165
188	359	1162
189	361	1160
190	362	1157
191	364	1154
192	366	1152
193	368	1151
194	370	1150
195	373	1149
196	375	1148
197	376	1145
198	378	1143
199	380	1141
200	382	1140
201	385	1140
202	387	1138
203	389	1138
204	391	1136
205	393	1134
206	395	1133
207	398	1133
208	401	1134
209	403	1132
210	405	1130
211	406	1127
212	408	1126
213	410	1124
214	412	1121
215	414	1120
216	416	1118
217	418	1116
218	420	1114
219	422	1112
220	423	1110
221	425	1108
222	427	1106
223	429	1105
224	431	1102
225	432	1099
226	434	1096
227	435	1093
228	438	1092
229	439	1089
230	440	1086
231	442	1083
232	444	1082
233	446	1080
234	448	1078
235	450	1075
236	451	1073
237	453	1070
238	455	1068
239	456	1065
240	458	1063
241	460	1061
242	461	1058
243	463	1057
244	465	1054
245	467	1052
246	469	1050
247	470	1048
248	472	1045
249	473	1042
250	475	1040
251	477	1038
252	479	1036
253	480	1033
254	483	1032
255	484	1030
256	486	1028
257	488	1025
258	490	1024
259	492	1022
260	493	1019
261	495	1017
262	497	1015
263	499	1013
264	500	1011
265	502	1008
266	504	1006
267	506	1004
268	507	1002
269	509	1000
270	511	998
271	513	996
272	515	995
273	517	993
274	519	991
275	521	989
276	523	987
277	524	985
278	526	983
279	528	981
280	530	979
281	531	977
282	533	974
283	535	973
284	537	971
285	539	969
286	541	967
287	543	965
288	544	962
289	546	960
290	547	958
291	549	955
292	551	953
293	552	951
294	554	949
295	556	947
296	557	944
297	559	942
298	561	940
299	563	938
300	564	936
301	566	934
