iter	Passed	Remaining
0	13	5401
1	41	8322
2	62	8231
3	82	8204
4	100	7903
5	126	8314
6	149	8402
7	167	8201
8	186	8098
9	211	8258
10	215	7621
11	236	7631
12	251	7498
13	265	7322
14	267	6862
15	293	7042
16	314	7084
17	336	7137
18	361	7246
19	381	7251
20	405	7316
21	431	7406
22	435	7136
23	440	6899
24	457	6862
25	474	6827
26	480	6633
27	499	6636
28	514	6576
29	533	6582
30	561	6687
31	577	6642
32	595	6623
33	614	6619
34	631	6584
35	651	6582
36	669	6564
37	691	6589
38	708	6554
39	725	6525
40	743	6513
41	763	6511
42	781	6486
43	797	6456
44	821	6477
45	836	6440
46	853	6409
47	870	6380
48	885	6342
49	900	6306
50	917	6279
51	931	6236
52	956	6263
53	972	6233
54	988	6200
55	1004	6171
56	1020	6142
57	1035	6107
58	1053	6088
59	1073	6085
60	1089	6055
61	1106	6029
62	1121	5999
63	1137	5971
64	1153	5946
65	1170	5924
66	1186	5899
67	1205	5886
68	1224	5875
69	1243	5863
70	1265	5862
71	1282	5844
72	1303	5837
73	1334	5878
74	1355	5873
75	1375	5864
76	1394	5848
77	1412	5832
78	1431	5816
79	1457	5831
80	1485	5848
81	1504	5834
82	1524	5822
83	1544	5809
84	1563	5792
85	1583	5781
86	1609	5791
87	1628	5774
88	1648	5761
89	1667	5742
90	1688	5734
91	1708	5720
92	1739	5743
93	1761	5734
94	1782	5723
95	1803	5712
96	1825	5702
97	1845	5686
98	1867	5678
99	1886	5660
100	1908	5651
101	1925	5626
102	1946	5613
103	1962	5586
104	1980	5563
105	2008	5570
106	2028	5555
107	2046	5532
108	2064	5511
109	2092	5516
110	2194	5713
111	2281	5866
112	2335	5931
113	2371	5948
114	2381	5900
115	2406	5892
116	2435	5890
117	2455	5868
118	2476	5847
119	2492	5815
120	2507	5782
121	2525	5753
122	2540	5721
123	2559	5697
124	2577	5670
125	2594	5641
126	2610	5611
127	2628	5584
128	2645	5558
129	2661	5527
130	2677	5498
131	2697	5477
132	2715	5450
133	2735	5430
134	2751	5401
135	2767	5373
136	2783	5342
137	2800	5317
138	2817	5290
139	2834	5264
140	2850	5236
141	2866	5207
142	2882	5179
143	2899	5153
144	2914	5126
145	2930	5098
146	2957	5089
147	2981	5075
148	3000	5054
149	3019	5032
150	3037	5009
151	3055	4985
152	3072	4960
153	3085	4929
154	3109	4915
155	3131	4897
156	3148	4873
157	3165	4847
158	3181	4822
159	3197	4796
160	3218	4778
161	3238	4757
162	3254	4732
163	3273	4710
164	3290	4686
165	3305	4660
166	3321	4634
167	3339	4612
168	3360	4592
169	3376	4568
170	3391	4542
171	3409	4520
172	3424	4493
173	3444	4473
174	3458	4446
175	3472	4419
176	3488	4394
177	3504	4371
178	3522	4349
179	3539	4325
180	3556	4303
181	3572	4278
182	3588	4255
183	3602	4228
184	3616	4202
185	3631	4178
186	3651	4158
187	3667	4135
188	3684	4113
189	3699	4088
190	3713	4063
191	3729	4039
192	3749	4021
193	3765	3998
194	3785	3979
195	3800	3956
196	3816	3933
197	3833	3910
198	3848	3887
199	3864	3864
200	3880	3841
201	3896	3818
202	3919	3803
203	3935	3780
204	3953	3760
205	3970	3738
206	3985	3715
207	4000	3692
208	4017	3671
209	4032	3648
210	4056	3633
211	4076	3614
212	4091	3592
213	4107	3570
214	4123	3547
215	4140	3526
216	4165	3512
217	4186	3494
218	4202	3473
219	4219	3452
220	4234	3429
221	4250	3407
222	4269	3388
223	4285	3367
224	4303	3347
225	4321	3327
226	4338	3306
227	4357	3286
228	4375	3266
229	4391	3246
230	4407	3224
231	4424	3203
232	4448	3188
233	4472	3172
234	4489	3152
235	4506	3131
236	4526	3113
237	4544	3093
238	4567	3076
239	4582	3055
240	4599	3034
241	4615	3013
242	4632	2992
243	4649	2972
244	4666	2952
245	4691	2936
246	4710	2917
247	4727	2897
248	4744	2876
249	4762	2857
250	4782	2838
251	4802	2820
252	4818	2799
253	4833	2778
254	4849	2757
255	4866	2737
256	4886	2718
257	4903	2698
258	4920	2678
259	4935	2657
260	4956	2639
261	4974	2620
262	4990	2599
263	5006	2578
264	5023	2558
265	5039	2538
266	5055	2518
267	5069	2497
268	5090	2478
269	5105	2458
270	5122	2438
271	5137	2417
272	5153	2397
273	5168	2376
274	5186	2357
275	5202	2337
276	5217	2316
277	5232	2296
278	5248	2276
279	5262	2255
280	5280	2236
281	5296	2216
282	5312	2196
283	5329	2176
284	5352	2159
285	5369	2140
286	5388	2121
287	5405	2102
288	5421	2082
289	5437	2062
290	5453	2042
291	5472	2023
292	5489	2004
293	5506	1985
294	5521	1965
295	5538	1945
296	5554	1926
297	5570	1906
298	5589	1888
299	5606	1868
300	5622	1849
301	5639	1829
302	5654	1810
303	5670	1790
304	5688	1771
305	5704	1752
306	5721	1733
307	5742	1715
308	5755	1695
309	5771	1675
310	5787	1656
311	5804	1637
312	5821	1618
313	5843	1600
314	5861	1581
315	5878	1562
316	5903	1545
317	5924	1527
318	5942	1508
319	5959	1489
320	5976	1470
321	5995	1452
322	6013	1433
323	6030	1414
324	6045	1395
325	6062	1376
326	6079	1357
327	6096	1338
328	6120	1320
329	6140	1302
330	6157	1283
331	6175	1264
332	6191	1245
333	6209	1226
334	6225	1207
335	6240	1188
336	6256	1169
337	6275	1151
338	6291	1132
339	6309	1113
340	6329	1095
341	6347	1076
342	6368	1058
343	6384	1039
344	6402	1020
345	6418	1001
346	6434	982
347	6450	963
348	6469	945
349	6484	926
350	6499	907
351	6522	889
352	6544	871
353	6561	852
354	6577	833
355	6599	815
356	6616	796
357	6632	778
358	6647	759
359	6674	741
360	6691	722
361	6709	704
362	6733	686
363	6751	667
364	6767	648
365	6784	630
366	6804	611
367	6822	593
368	6844	575
369	6864	556
370	6884	538
371	6901	519
372	6919	500
373	6938	482
374	6953	463
375	6969	444
376	6984	426
377	7001	407
378	7019	388
379	7034	370
380	7049	351
381	7066	332
382	7082	314
383	7098	295
384	7114	277
385	7131	258
386	7149	240
387	7173	221
388	7192	203
389	7213	184
390	7234	166
391	7250	147
392	7269	129
393	7289	111
394	7305	92
395	7327	74
396	7344	55
397	7361	36
398	7379	18
399	7395	0
